Date and time,Event String,Event Data String
7/15/2024 4:00:37 PM,Pilot Proved,36.974790
7/15/2024 4:00:37 PM,Pilot Proved,38.655462
7/15/2024 4:00:37 PM,Pilot Proved,39.495798
7/15/2024 4:00:37 PM,Pilot Proved,40.336134
7/15/2024 4:00:37 PM,Pilot Proved,41.176471
7/15/2024 4:00:37 PM,Pilot Proved,42.016807
7/15/2024 4:00:37 PM,Pilot Proved,42.857143
7/15/2024 4:00:37 PM,Pilot Proved,44.537815
7/15/2024 4:00:37 PM,Pilot Proved,45.378151
7/15/2024 4:00:37 PM,Pilot Proved,46.218487
7/15/2024 4:00:37 PM,Pilot Proved,47.058824
7/15/2024 4:00:37 PM,Pilot Proved,47.899160
7/15/2024 4:00:37 PM,Pilot Proved,48.739496
7/15/2024 4:00:37 PM,Pilot Proved,49.579832
7/15/2024 4:00:37 PM,Pilot Proved,50.420168
7/15/2024 4:00:37 PM,Pilot Proved,51.260504
7/15/2024 4:00:39 PM,Force Draft Fan ON,TRUE
7/15/2024 4:00:46 PM,Boiler Running,61.790088
7/15/2024 4:00:55 PM,Start Shutdown Purge,10.000000
7/15/2024 4:01:05 PM,Shutdown Purge Complete,
7/15/2024 4:01:12 PM,Boiler Initialized,0
7/15/2024 4:01:14 PM,Boiler Ready,0
7/15/2024 4:01:15 PM,Start Pre-Purge,10.00
7/15/2024 4:01:25 PM,Pre-Purge Complete,10.081479
7/15/2024 4:01:27 PM,Pilot On,TRUE
7/15/2024 4:01:37 PM,Pilot Proved,31.932773
7/15/2024 4:01:37 PM,Pilot Proved,36.134454
7/15/2024 4:01:37 PM,Pilot Proved,39.495798
7/15/2024 4:01:37 PM,Pilot Proved,47.058824
7/15/2024 4:01:37 PM,Pilot Proved,49.579832
7/15/2024 4:01:37 PM,Pilot Proved,52.100840
7/15/2024 4:01:37 PM,Pilot Proved,52.941176
7/15/2024 4:01:37 PM,Pilot Proved,54.621849
7/15/2024 4:01:40 PM,Force Draft Fan ON,TRUE
7/15/2024 4:01:48 PM,Boiler Running,25.104784
7/15/2024 4:02:28 PM,Start Shutdown Purge,10.000000
7/15/2024 4:02:38 PM,Shutdown Purge Complete,
7/15/2024 4:03:27 PM,Boiler Initialized,0
7/15/2024 4:03:48 PM,Boiler Ready,0
7/15/2024 4:03:48 PM,Start Pre-Purge,10.00
7/15/2024 4:03:58 PM,Pre-Purge Complete,10.020382
7/15/2024 4:04:35 PM,Pilot On,TRUE
7/15/2024 4:04:37 PM,Pilot Proved,34.453782
7/15/2024 4:04:37 PM,Pilot Proved,36.974790
7/15/2024 4:04:37 PM,Pilot Proved,40.336134
7/15/2024 4:04:37 PM,Pilot Proved,42.016807
7/15/2024 4:04:37 PM,Pilot Proved,42.857143
7/15/2024 4:04:37 PM,Pilot Proved,43.697479
7/15/2024 4:04:37 PM,Pilot Proved,44.537815
7/15/2024 4:04:37 PM,Pilot Proved,45.378151
7/15/2024 4:04:37 PM,Pilot Proved,46.218487
7/15/2024 4:04:37 PM,Pilot Proved,47.058824
7/15/2024 4:04:37 PM,Pilot Proved,47.899160
7/15/2024 4:04:37 PM,Pilot Proved,48.739496
7/15/2024 4:04:37 PM,Pilot Proved,49.579832
7/15/2024 4:04:37 PM,Pilot Proved,51.260504
7/15/2024 4:04:37 PM,Pilot Proved,52.100840
7/15/2024 4:04:37 PM,Pilot Proved,53.781513
7/15/2024 4:04:37 PM,Pilot Proved,54.621849
7/15/2024 4:04:37 PM,Pilot Proved,55.462185
7/15/2024 4:04:37 PM,Pilot Proved,56.302521
7/15/2024 4:04:37 PM,Pilot Proved,57.142857
7/15/2024 4:04:37 PM,Pilot Proved,57.983193
7/15/2024 4:04:37 PM,Pilot Proved,58.823529
7/15/2024 4:04:37 PM,Pilot Proved,59.663866
7/15/2024 4:04:37 PM,Pilot Proved,60.504202
7/15/2024 4:04:37 PM,Pilot Proved,61.344538
7/15/2024 4:04:40 PM,Force Draft Fan ON,TRUE
7/15/2024 4:04:47 PM,Boiler Running,26.688172
7/15/2024 4:05:30 PM,Start Shutdown Purge,10.000000
7/15/2024 4:05:30 PM,Shutdown Purge Complete,
7/15/2024 4:06:46 PM,Boiler Initialized,0
7/15/2024 4:07:47 PM,Boiler Ready,0
7/15/2024 4:07:47 PM,Start Pre-Purge,10.00
7/15/2024 4:07:58 PM,Pre-Purge Complete,10.093700
7/15/2024 4:08:11 PM,Pilot On,TRUE
7/15/2024 4:08:14 PM,Pilot Proved,30.252101
7/15/2024 4:08:14 PM,Pilot Proved,31.092437
7/15/2024 4:08:14 PM,Pilot Proved,33.613445
7/15/2024 4:08:14 PM,Pilot Proved,34.453782
7/15/2024 4:08:14 PM,Pilot Proved,36.974790
7/15/2024 4:08:14 PM,Pilot Proved,38.655462
7/15/2024 4:08:14 PM,Pilot Proved,40.336134
7/15/2024 4:08:14 PM,Pilot Proved,41.176471
7/15/2024 4:08:14 PM,Pilot Proved,42.016807
7/15/2024 4:08:14 PM,Pilot Proved,43.697479
7/15/2024 4:08:14 PM,Pilot Proved,45.378151
7/15/2024 4:08:14 PM,Pilot Proved,46.218487
7/15/2024 4:08:14 PM,Pilot Proved,47.058824
7/15/2024 4:08:14 PM,Pilot Proved,49.579832
7/15/2024 4:08:14 PM,Pilot Proved,51.260504
7/15/2024 4:08:14 PM,Pilot Proved,52.941176
7/15/2024 4:08:14 PM,Pilot Proved,53.781513
7/15/2024 4:08:15 PM,Force Draft Fan ON,TRUE
7/15/2024 4:08:16 PM,Boiler Running,10.833091
7/15/2024 4:08:23 PM,Start Shutdown Purge,10.000000
7/15/2024 4:08:24 PM,Shutdown Purge Complete,
7/15/2024 4:08:24 PM,Boiler Initialized,0
7/15/2024 4:08:44 PM,Boiler Initialized,0
